language,id,text,file,node,lineNumber,lock,comment
en-US,line:001,"Baelor: I know we have been working hard these past weeks, and I want you to know I appreciate you all.",Assets/YS/Intro/QuickTest.yarn,QuickTest,4,0c08c290,
en-US,line:002,"Rotta: What’s been the point? My clan won’t come out of their holes, they’re too busy forging armor too heavy to wear.",Assets/YS/Intro/QuickTest.yarn,QuickTest,5,bf0633c7,
en-US,line:003,"Osseus: And my fellow bone brethren won’t come to our aid either, they’re too obsessed with trying to repair themselves.",Assets/YS/Intro/QuickTest.yarn,QuickTest,6,723d2630,
en-US,line:004,"Gobkin: We change der minds, prrpppt. Rawrrr!",Assets/YS/Intro/QuickTest.yarn,QuickTest,7,e451c1a0,
en-US,line:005,Rotta: How? With your little rusty kitchen knife?,Assets/YS/Intro/QuickTest.yarn,QuickTest,8,6a6e04af,
en-US,line:006,Osseus: Perhaps his scintillating wit?,Assets/YS/Intro/QuickTest.yarn,QuickTest,9,ee98c831,
en-US,line:007,"Baelor: Rotta, Osseus, Enough! Have I taught you nothing!? Osseus, you were cast out of your dungeon because they thought you too damaged, missing too many bones.",Assets/YS/Intro/QuickTest.yarn,QuickTest,10,926200e9,
en-US,line:008,Osseus: Not THAT many! I mean nothing important! What do I need ribs for? It’s not like I have a heart left to protect!,Assets/YS/Intro/QuickTest.yarn,QuickTest,11,738b0b76,
en-US,line:009,"Baelor: And Rotta, you were exiled for trying to bring new ideas to your clan. Just as I’m trying to do for Dungeons Incorporated! <br>I told them that if we use kindness and words to breed cooperation, instead of whips and chains to force subservience, we can build a better dungeon. <br>But because I am just an old man, and not a pulsating, undulating horror, I was dismissed. <br>So please, do not fall into the same trap as them.",Assets/YS/Intro/QuickTest.yarn,QuickTest,12,7d3e2ded,
en-US,line:010,"Rotta: But look at it, it’s just so… small and helpless.",Assets/YS/Intro/QuickTest.yarn,QuickTest,13,e3a0f7a7,
en-US,line:011,Osseus: And annoying…,Assets/YS/Intro/QuickTest.yarn,QuickTest,14,62f68627,
en-US,line:012,"Baelor: What does cruelty beget but more cruelty? Please, we must all cooperate if we are to survive. <br>Do not listen to their words, Gobkin, listen to your heart. <br>For that is your strength, and I sense that it will become more important than anything else in this entire dungeon.",Assets/YS/Intro/QuickTest.yarn,QuickTest,15,da7bb098,
en-US,line:013,Gobkin: Twuly!?,Assets/YS/Intro/QuickTest.yarn,QuickTest,16,50653c45,
en-US,line:014,"Baelor: Twuly! Uh, truely. <br>Now, we must gather the rats and skeletons to us, but before we embark, let’s go through our drills one last time.",Assets/YS/Intro/QuickTest.yarn,QuickTest,17,44ddd129,
en-US,line:015,Baelor: Remember to move together as one! Do not let foolhardy adventures divide you!,Assets/YS/Intro/QuickTest.yarn,QuickTest,18,8bc07303,
en-US,line:016,Rotta: I know how to walk…,Assets/YS/Intro/QuickTest.yarn,QuickTest,19,02dfc825,
en-US,line:017,"Osseus: Well, scurry anyway…",Assets/YS/Intro/QuickTest.yarn,QuickTest,20,48f220d6,
en-US,line:018,Rotta: What was that!?,Assets/YS/Intro/QuickTest.yarn,QuickTest,21,cc4a1f87,
en-US,line:019,"Osseus: Oh, Nothing…",Assets/YS/Intro/QuickTest.yarn,QuickTest,22,db2e8349,
en-US,line:020,"Baelor: In battle, remember that brute force is not what wins. <br>It’s choosing the appropriate strategy for your opponent. <br>Gobkin, why don’t you start. Pick someone to fight first!",Assets/YS/Intro/QuickTest.yarn,QuickTest,23,2419eda0,
en-US,line:021,"Gobkin: Oy, boney fwend! Come fights me!",Assets/YS/Intro/QuickTest.yarn,QuickTest,24,005bba2d,
en-US,line:022,Osseus: OW! MY SHIN!,Assets/YS/Intro/QuickTest.yarn,QuickTest,25,cf013c82,
en-US,line:023,Gobkin: Oh no! I’m sowry! You’se okays?,Assets/YS/Intro/QuickTest.yarn,QuickTest,26,56d95eec,
en-US,line:024,Osseus: HA FOOLED YOU!,Assets/YS/Intro/QuickTest.yarn,QuickTest,27,c131cece,
en-US,line:025,Osseus: Heeeyah!,Assets/YS/Intro/QuickTest.yarn,QuickTest,28,387ea56e,
en-US,line:026,Osseus: Wo-WOAH!,Assets/YS/Intro/QuickTest.yarn,QuickTest,29,73eefeba,
en-US,line:027,Osseus: OH NO!,Assets/YS/Intro/QuickTest.yarn,QuickTest,30,33cc2141,
en-US,line:028,Rotta: I have some notes on your fighting style there Osseus. <br>Have you considered simply throwing your bones at the enemy?,Assets/YS/Intro/QuickTest.yarn,QuickTest,31,9b9a9883,
en-US,line:029,"Osseus: Nonsense, I just need to pick myself up…",Assets/YS/Intro/QuickTest.yarn,QuickTest,32,ea714618,
en-US,line:030,"Osseus: There, good as new.",Assets/YS/Intro/QuickTest.yarn,QuickTest,33,f3980d2a,
en-US,line:031,"Gobkin: Oy, Fur Fwend! Come make hits wid me!",Assets/YS/Intro/QuickTest.yarn,QuickTest,34,3c746838,
en-US,line:032,Rotta: It’s Rotta. R-O-T-T-A.,Assets/YS/Intro/QuickTest.yarn,QuickTest,35,ec6de91d,
en-US,line:033,Gobkin: That’s what I said! Fur fwend!,Assets/YS/Intro/QuickTest.yarn,QuickTest,36,63aa1ddc,
en-US,line:034,Rotta: Oh by my tail… just come on already! And…is that a cheese knife?,Assets/YS/Intro/QuickTest.yarn,QuickTest,37,7509eba2,
en-US,line:035,"Gobkin: Yeh, yeh, knife, stabby stab.",Assets/YS/Intro/QuickTest.yarn,QuickTest,38,06176276,
en-US,line:036,"Rotta: You know what, never mind, have at me!",Assets/YS/Intro/QuickTest.yarn,QuickTest,39,4ce4c007,
en-US,line:037,Rotta: Oh that knife smells sweet… what is that? Hard cheddar? A hint of hickory?,Assets/YS/Intro/QuickTest.yarn,QuickTest,40,55da9054,
en-US,line:038,"Rotta: No, no focus! ARRGGGGHH!",Assets/YS/Intro/QuickTest.yarn,QuickTest,41,980f0b29,
en-US,line:039,Gobkin: AIEEEGGHHH!,Assets/YS/Intro/QuickTest.yarn,QuickTest,42,a4f12f81,
en-US,line:040,"Baelor: Well, fighting skill isn’t everything, and we won’t need to fight the rats or skeletons.",Assets/YS/Intro/QuickTest.yarn,QuickTest,43,57e244bb,
en-US,line:041,Rotta: You really think my people won’t fight you tooth and tail?,Assets/YS/Intro/QuickTest.yarn,QuickTest,44,732192ac,
en-US,line:042,"Osseus: And bone and… well bone, I suppose.",Assets/YS/Intro/QuickTest.yarn,QuickTest,45,a1575059,
en-US,line:043,"Baelor: Perhaps, but I also have this!",Assets/YS/Intro/QuickTest.yarn,QuickTest,46,68f8f8de,
en-US,line:044,"Baelor: The D20 of the Dungeon Master, given to all dungeon masters. With this, we will have unity.",Assets/YS/Intro/QuickTest.yarn,QuickTest,47,0dc9d84a,
en-US,line:045,Rotta: Ooooohhh...So green.,Assets/YS/Intro/QuickTest.yarn,QuickTest,48,f818d3c4,
en-US,line:046,Osseus: Such fine craftsmanship.,Assets/YS/Intro/QuickTest.yarn,QuickTest,49,dd161817,
en-US,line:047,Gobkin: It’s warm…,Assets/YS/Intro/QuickTest.yarn,QuickTest,50,75c60b31,
en-US,line:048,"Baelor: Come, let’s begin our journey and I shall tell you how it functions…",Assets/YS/Intro/QuickTest.yarn,QuickTest,51,3a247767,
en-US,line:049,Hero: En garde foul denizens of evil! I have come forth to smote thee!,Assets/YS/Intro/QuickTest.yarn,QuickTest,52,a8647f69,
en-US,line:050,Osseus: I heard that adventurers were pretentious but wow… to have a tongue and waste it so…,Assets/YS/Intro/QuickTest.yarn,QuickTest,53,96116ab6,
en-US,line:051,Rotta: ARRGGHHH! LET ME AT HIM!,Assets/YS/Intro/QuickTest.yarn,QuickTest,54,f4b36961,
en-US,line:052,Baelor: WAIT!,Assets/YS/Intro/QuickTest.yarn,QuickTest,55,03e79fa1,
en-US,line:053,"Baelor: NO! STOP, PLEASE!",Assets/YS/Intro/QuickTest.yarn,QuickTest,56,973529a1,
en-US,line:054,"Hero: I thought the Dungeon Guide listed this dungeon as a 2.5 stars? <br>Huh, I expected more challenge than this. Guess I’m better than I thought.",Assets/YS/Intro/QuickTest.yarn,QuickTest,57,0627f493,
en-US,line:055,"Hero: I have lay thee low, abominations, but harken! Ye have earned a reprieve for now! <br>I shall return in three days with other holy warriors and we shall purge your filth from these lands!",Assets/YS/Intro/QuickTest.yarn,QuickTest,58,bb665a9a,
en-US,line:056,"Hero: Man, these guys don’t even qualify as trash mobs. <br>However my low level friends will be able to grind xp quite easily in here!",Assets/YS/Intro/QuickTest.yarn,QuickTest,59,7bdc308c,
en-US,line:057,Gobkin: M-m-master?,Assets/YS/Intro/QuickTest.yarn,QuickTest,60,bc4e8b0d,
en-US,line:058,Baelor: I’m sorry. I thought I had more time.,Assets/YS/Intro/QuickTest.yarn,QuickTest,61,b7267af7,
