language,id,text,file,node,lineNumber,lock,comment
en-US,line:126,Osseus: Osteon! Osteon are you here!?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,4,97e60b6e,
en-US,line:127,Rotta: Who is Osteon?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,5,0d02572e,
en-US,line:128,"Osseus: My dear friend, and my partner. They were trying to stop Claviculus and his infernal machine.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,6,16fa3951,
en-US,line:129,Venel: Osteon is gone. Claviculus has them.,Assets/YS/SkeletonAreaVO.yarn,QuickTest,7,35dea32c,
en-US,line:130,Osseus: What!? When?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,8,f7f0627e,
en-US,line:131,"Venel: Shortly after you left, the cult of the mechanicus came for us. We thought we were all doomed. <br>But then Osteon went with them… and they all left. The others are in hiding. <br>I only waited to bring you the news.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,9,20b4998b,
en-US,line:132,"Osseus: Thank you Venel! Come, we have to hurry!",Assets/YS/SkeletonAreaVO.yarn,QuickTest,10,4fa2b757,
en-US,line:133,Gobkin: Who dis Clavy-clav-bone…icus?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,11,40c84251,
en-US,line:134,"Osseus: Once, they were our Bone Sage, our leader. <br>They are the most ancient skeleton here, thousands of years old, some say they might even be the first skeleton to rise. <br>They were wise and kind.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,12,ba979f9a,
en-US,line:135,Rotta: Were? What happened?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,13,45200287,
en-US,line:136,"Osseus: They became obsessed with fixing us. Most of us are missing bones, stolen or destroyed by adventurers passing through. <br>They were trying to find a way to meld other bones into our bodies as replacements… but it never worked. <br>They discovered though, they could reanimate individual groups of bones. <br>Now they are sacrificing hundreds of us to create an abomination. <br>Some are fanatical cultists, willingly sacrificing themselves. <br>But so many others were taken against their will. <br>It seems Osteon is now among them.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,14,3dfc8c54,
en-US,line:138,Gobkin: We finds Ost-bone-fwend. Do not worry.,Assets/YS/SkeletonAreaVO.yarn,QuickTest,15,3ca6aef2,
en-US,line:139,Osseus: I hope so.,Assets/YS/SkeletonAreaVO.yarn,QuickTest,16,20daaa33,
en-US,line:140,Osseus: What if we’re too late…,Assets/YS/SkeletonAreaVO.yarn,QuickTest,17,cbafeec5,
en-US,line:141,Rotta: We’re not.,Assets/YS/SkeletonAreaVO.yarn,QuickTest,18,117bc41c,
en-US,line:142,Osseus: But what if we are!? I don’t know what I’d do if…,Assets/YS/SkeletonAreaVO.yarn,QuickTest,19,b9f5a185,
en-US,line:143,"Gobkin: We finds, you see, we finds. We saves.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,20,4ec61ed6,
en-US,line:144,Osseus: Osteon!,Assets/YS/SkeletonAreaVO.yarn,QuickTest,21,05f1ee41,
en-US,line:145,"Osteon: Osseus, what are you doing here!? Run!",Assets/YS/SkeletonAreaVO.yarn,QuickTest,22,d8eaf66a,
en-US,line:146,Osseus: Not without you!  How did they capture you?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,23,48955ce9,
en-US,line:147,Claviculus Clepta: They came willingly…,Assets/YS/SkeletonAreaVO.yarn,QuickTest,24,e7afff89,
en-US,line:148,Osseus: Willingly…?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,25,9d167c34,
en-US,line:149,"Osteon: Claviculus and his cultists had us all cornered Osseus, there was no escape. <br>Claviculus gave me a choice, either I could volunteer and complete the Osteomechanicum… <br>or they would kill every Skeleton that followed me. <br>I’ve never made an easier choice.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,26,d07984c2,
en-US,line:150,"Osseus: Let them go, Claviculus!",Assets/YS/SkeletonAreaVO.yarn,QuickTest,27,dccc2f24,
en-US,line:151,"Rotta: Come on, let’s grind that skeleton’s bones to dust!",Assets/YS/SkeletonAreaVO.yarn,QuickTest,28,d37b2947,
en-US,line:152,Claviculus: “I am doing what is NECESSARY! I will no longer be trod on by mortals! Batted aside like a cobweb for the amusement of humanity!”,Assets/YS/SkeletonAreaVO.yarn,QuickTest,29,3e6e8253,
en-US,line:153,Claviculus: Do not try to stop me! Don’t you see the Osteomechanicum is completed!,Assets/YS/SkeletonAreaVO.yarn,QuickTest,30,de9baca2,
en-US,line:154,CLaviculus: With this I cannot be stopped!,Assets/YS/SkeletonAreaVO.yarn,QuickTest,31,1233678b,
en-US,line:155,Osseus: No! OSTEON! STOP IT CLAVICULUS!,Assets/YS/SkeletonAreaVO.yarn,QuickTest,32,ffd41a2c,
en-US,line:156,"Osteon: It’s okay, Osseus, my love, we met after death once… we will meet again, I know it.",Assets/YS/SkeletonAreaVO.yarn,QuickTest,33,aadf5fa3,
en-US,line:157,Osseus: …until then.,Assets/YS/SkeletonAreaVO.yarn,QuickTest,34,bc4e5ca0,
en-US,line:158,"Claviculus: Only now at the end do I see. So afraid of my people being destroyed…only to destroy them myself. <br>Promise me you’ll protect our people, Osseus. Don’t let our bones be scattered. We deserve life…just as much as the mortals do…",Assets/YS/SkeletonAreaVO.yarn,QuickTest,35,c25340b0,
en-US,line:159,Osseus: Osteon? Osteon!?,Assets/YS/SkeletonAreaVO.yarn,QuickTest,36,881c94a6,
